Age,Gasoline_Small_Car,Gasoline_Mid_Car,Gasoline_Large_Car,Diesel_Small_Car,Diesel_Mid_Car,Diesel_Large_Car,HEV_Small_Car,HEV_Mid_Car,HEV_Large_Car,BEV_Small_Car,BEV_Mid_Car,BEV_Large_Car,PHEV_Small_Car,PHEV_Mid_Car,PHEV_Large_Car,LPG_Small_Car,LPG_Mid_Car,LPG_Large_Car,CNG_Small_Car,CNG_Mid_Car,CNG_Large_Car,Diesel_Bus,Gasoline_Bus,CNG_Bus,Electric_Bus,Gasoline_PTW,Diesel_PTW,CNG_PTW,Electric_PTW
27,66,57,8,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222517289,0.057399723,0.006887967,0,57.03490123,0.035642238,0.003385784,0.127653201
28,70,61,9,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,57.03490123,0.035642238,0.003385784,0.127653201
29,78,68,10,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222517289,0.057399723,0.006887967,0,55.53398278,0.034704284,0.003296684,0.124293906
30,70,61,9,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222517289,0.057399723,0.006887967,0,46.52847206,0.029076562,0.002762087,0.104138138
31,49,43,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222517289,0.057399723,0.006887967,0,37.52296134,0.023448841,0.002227489,0.083982369
32,37,32,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,28.51745062,0.017821119,0.001692892,0.063826601
33,31,27,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,27.01653216,0.016883165,0.001603792,0.060467306
34,26,23,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,28.51745062,0.017821119,0.001692892,0.063826601
35,21,18,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,27.01653216,0.016883165,0.001603792,0.060467306
36,22,19,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,28.51745062,0.017821119,0.001692892,0.063826601
37,16,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,37.52296134,0.023448841,0.002227489,0.083982369
38,16,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.03122742,0.031890423,0.003029386,0.114216022
39,21,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,54.03306432,0.033766331,0.003207585,0.120934612
40,23,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,48.02939051,0.030014516,0.002851186,0.107497433
41,37,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,70.54316731,0.044083821,0.00418768,0.157886854
42,35,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,75.04592267,0.046897681,0.004454979,0.167964738
43,31,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,72.04408577,0.045021774,0.00427678,0.161246149
44,33,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,55.53398278,0.034704284,0.003296684,0.124293906
45,48,41,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,34.52112443,0.021572933,0.00204929,0.07726378
46,78,67,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,42.0257167,0.026262702,0.002494788,0.094060253
47,91,79,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,37.52296134,0.023448841,0.002227489,0.083982369
48,66,57,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,39.02387979,0.024386794,0.002316589,0.087341664
49,61,53,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111258645,0.028699862,0.003443983,0,39.02387979,0.024386794,0.002316589,0.087341664
