did,oid,ent,sectionId,laneIndex,xCoord,yCoord,time,speed,travelledDistance,acceleration
462536,1844,71,1456,1,445989.65,210498.57,230.4,62.14,970.36,0.0
462536,1844,72,1456,1,446003.24,210501.06,231.2,62.14,984.17,0.0
462536,1844,73,1456,1,446016.82,210503.56,232.0,62.14,997.98,0.0
462536,1844,74,1456,1,446030.39,210506.07,232.8,62.14,1011.79,0.0
462536,1844,75,1456,1,446043.97,210508.57,233.6,62.14,1025.6,0.0
462536,1844,76,1456,1,446057.55,210511.08,234.4,62.14,1039.41,0.0
462536,1844,77,1456,1,446071.13,210513.59,235.2,62.14,1053.22,0.0
462536,1844,78,1456,1,446084.71,210516.1,236.0,62.14,1067.03,0.0
462536,1844,79,1456,1,446098.29,210518.61,236.8,62.14,1080.83,0.0
462536,1844,80,1456,1,446111.87,210521.11,237.6,62.14,1094.64,0.0
462536,1844,81,1456,1,446125.45,210523.62,238.4,62.14,1108.45,0.0
462536,1844,82,1456,1,446139.03,210526.13,239.2,62.14,1122.26,0.0
462536,1844,83,1456,1,446152.61,210528.64,240.0,62.14,1136.07,0.0
462536,1844,84,1456,1,446166.19,210531.15,240.8,62.14,1149.88,0.0
462536,1844,85,1456,1,446179.76,210533.66,241.6,62.14,1163.69,0.0
462536,1844,86,1456,1,446193.34,210536.17,242.4,62.14,1177.5,0.0
462536,1844,87,1456,1,446206.92,210538.67,243.2,62.14,1191.31,0.0
462536,1844,88,1456,1,446220.5,210541.18,244.0,62.14,1205.11,0.0
462536,1844,89,1456,1,446234.08,210543.69,244.8,62.14,1218.92,0.0
462536,1844,90,1456,1,446247.66,210546.2,245.6,62.14,1232.73,0.0
462536,1844,91,1456,1,446261.24,210548.7,246.4,62.14,1246.54,0.0
462536,1844,92,1456,1,446274.82,210551.21,247.2,62.14,1260.35,0.0
462536,1844,93,1456,1,446288.4,210553.72,248.0,62.14,1274.16,0.0
462536,1844,94,1456,1,446301.98,210556.23,248.8,62.14,1287.97,0.0
462536,1844,95,1456,1,446315.64,210558.2,249.6,62.14,1301.78,0.0
462536,1844,96,1456,1,446329.28,210560.34,250.4,62.14,1315.58,0.0
462536,1844,97,1456,1,446342.88,210562.75,251.2,62.14,1329.39,0.0
462536,1844,98,1456,1,446356.48,210565.15,252.0,62.14,1343.2,0.0
462536,1844,99,1456,1,446370.08,210567.56,252.8,62.14,1357.01,0.0
462536,1844,100,1456,1,446383.68,210569.96,253.6,62.14,1370.82,0.0
462536,1844,101,1456,1,446397.27,210572.36,254.4,62.14,1384.63,0.0
462536,1844,102,1456,1,446410.87,210574.77,255.2,62.14,1398.44,0.0
462536,1844,103,1456,1,446424.47,210577.17,256.0,62.14,1412.25,0.0
462536,1844,104,1456,1,446438.09,210579.47,256.8,62.14,1426.06,0.0
462536,1844,105,1456,1,446451.72,210581.63,257.6,62.14,1439.86,0.0
462536,1844,106,1456,1,446465.36,210583.79,258.4,62.14,1453.67,0.0
462536,1844,107,1456,1,446479.0,210585.95,259.2,62.14,1467.48,0.0
462536,1844,108,1456,1,446492.64,210588.12,260.0,62.14,1481.29,0.0
