Variable,Year,Gasoline_Small_Car,Gasoline_Mid_Car,Gasoline_Large_Car,Diesel_Small_Car,Diesel_Mid_Car,Diesel_Large_Car,HEV_Small_Car,HEV_Mid_Car,HEV_Large_Car,BEV_Small_Car,BEV_Mid_Car,BEV_Large_Car,PHEV_Small_Car,PHEV_Mid_Car,PHEV_Large_Car,LPG_Small_Car,LPG_Mid_Car,LPG_Large_Car,CNG_Small_Car,CNG_Mid_Car,CNG_Large_Car,Diesel_Bus,Gasoline_Bus,CNG_Bus,Electric_Bus,Gasoline_PTW,Diesel_PTW,CNG_PTW,Electric_PTW
Fleet size,2019,472541.0265520001,244244.53517260007,11875.438251769998,141883.5009891,338412.88404299994,61537.614969300004,7932.993011081998,6935.101918131999,250.53249352499986,345.6893643320001,302.20510344900003,10.917243759000003,0.0,0.0,0.0,88674.57558844998,77520.20181943997,2800.4389390429997,12057.098649238003,10540.436358121,380.7762070559999,3112.06509486,13.712874868999998,154.408022935,17.381039553,225590.6673246,25.021746016000005,23.992482705000004,163.72385019
Fraction at Euro0,2019,0.01983693765643044,0.019836937655156477,0.01983693765856048,0.0,0.0,0.0,0.005212171844353005,0.005212171844759497,0.0052121718483337165,0.0,0.0,0.0,0.0,0.0,0.0,0.0052121718440899184,0.005212171844995953,0.005212171845257782,0.005212171844643771,0.0052121718446751794,0.005212171845268911,0.021365553771725207,0.03488833147891511,0.006226014585681022,0.0,0.07860597195977527,0.07860597203077054,0.07860597194046472,0.0
Fraction at Euro1,2019,0.07273543806456276,0.07273543806803497,0.07273543807032724,0.0,0.0,0.0,0.01911129676346392,0.019111296763480452,0.019111296759570982,0.0,0.0,0.0,0.0,0.0,0.0,0.01911129676270208,0.019111296762417893,0.019111296765813596,0.019111296764060627,0.019111296763424376,0.019111296762114476,0.07834036383855016,0.12792388213802303,0.022828720145192577,0.0,0.09170696728243262,0.09170696728659535,0.09170696729260283,0.0
Fraction at Euro2,2019,0.12563393849974167,0.1256339384878904,0.12563393848837195,0.020441547476441557,0.02044154747928663,0.02044154748000464,0.03301042168285358,0.03301042168411453,0.03301042168404773,0.0,0.0,0.0,0.0,0.0,0.0,0.033010421681937664,0.03301042168326286,0.03301042168794864,0.03301042167962607,0.033010421685425326,0.03301042168186368,0.1353151738987068,0.2209594327971309,0.03943142571161764,0.0,0.12664295481685156,0.1266429547731898,0.1266429547977588,0.0
Fraction at Euro3,2019,0.22077673376838772,0.22077673371308104,0.22077673374811962,0.1746939361793636,0.17469393620146953,0.1746939361895655,0.059689433666793926,0.059689433667341224,0.05968943366563468,0.0,0.0,0.0,0.0,0.0,0.0,0.0596894336694405,0.05968943366550317,0.059689433672075506,0.059689433666931795,0.059689433666739525,0.05968943366307079,0.24250587277298669,0.34396318514722024,0.1572876366914639,0.0,0.20569764181355257,0.20569764179412514,0.20569764180881592,0.0
Fraction at Euro4,2019,0.1812365756060349,0.18123657562068204,0.18123657560124448,0.21423561106398306,0.21423561110524564,0.21423561105334207,0.17655932803424976,0.17655932801983848,0.17655932802542618,0.0,0.0,0.0,0.0,0.0,0.0,0.17655932804252258,0.17655932803687815,0.1765593280098692,0.17655932803618998,0.17655932804279273,0.17655932804112667,0.15794070855547143,0.13597424414242215,0.3216731709163421,0.0,0.18704736926094873,0.18704736926653526,0.18704736933605515,0.0
Fraction at Euro5,2019,0.1778167877529094,0.1778167877679376,0.1778167877569609,0.2511529034708909,0.2511529034426566,0.251152903463559,0.33640103835794094,0.3364010383660407,0.33640103829534174,0.0,0.0,0.0,0.0,0.0,0.0,0.3364010383597245,0.33640103835236446,0.3364010383458479,0.3364010383440231,0.33640103836080737,0.3364010383482318,0.22985871364931695,0.12865996001713081,0.28795214885422143,0.0,0.17105294061665807,0.171052940652492,0.17105294057092943,0.0
Fraction at Euro6,2019,0.20196358865193295,0.2019635886872174,0.20196358867641528,0.3394760018093209,0.33947600177134146,0.33947600181352855,0.37001630965034477,0.37001630965442517,0.37001630972164495,0.0,0.0,0.0,0.0,0.0,0.0,0.3700163096395825,0.3700163096545773,0.3700163096731873,0.3700163096645248,0.3700163096361354,0.37001630965832377,0.13467361351324314,0.007630964279157983,0.1646008830954814,0.0,0.13924615424978107,0.1392461541962923,0.1392461542533731,0.0
Fraction at Euro7,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
