did,oid,sid,origin,destination,entranceSection,generationTime,entranceTime,exitTime,expectedTravelTime,delayTime,travelledDistance,pathType
462536,1844,154,461910,461718,0,174.983,174.983,1842.68,0.0,791.746,15885.2,
462536,2716,154,461910,461718,0,267.305,267.305,1925.31,0.0,756.033,15886.1,
