Year,Type,LinkID,Time_period,FromNode,ToNode,Vehicle_Flow_Perhr,Gasoline_use_USgal_perhr,Diesel_use_USgal_perhr,electricityUse_kWh_perhr,LPG_use_USgal_perhr,CNG_use_kg_perhr,tailpipeCO2_fromCombustion_g_perhr,tailpipeCO_g_perhr,tailpipeNMVOC_g_perhr,tailpipeNOx_g_perhr,tailpipeN2O_g_perhr,tailpipeNH3_g_perhr,tailpipePb_g_perhr,tailpipeCO2_fromLubricantOil_g_perhr,tailpipePM25_g_perhr,LCCO2_g_perhr,distance_vkm_perhr,Frac_EURO0_thisSegment_byUtil,Frac_EURO1_thisSegment_byUtil,Frac_EURO2_thisSegment_byUtil,Frac_EURO3_thisSegment_byUtil,Frac_EURO4_thisSegment_byUtil,Frac_EURO5_thisSegment_byUtil,Frac_EURO6_thisSegment_byUtil,Frac_EURO7_thisSegment_byUtil
2030,Car,9.0,Peak,15.0,59202.0,182.0,0.15859222532162726,0.07859898548185415,0.19253423888556262,0.08581503489839362,0.024641209513372026,3016.464086071448,6.284229205315797,0.6172999619574553,1.9570947387972695,0.03565779268789938,0.24192594957264682,0.00020756406494599997,5.695854640666711,0.02928395537549029,544.337027239298,14.742,2.7831115825579496e-05,0.00038433284765373435,0.002633703236910528,0.020920434456223668,0.06431782933875393,0.21940817670074417,0.3509471870960172,0.3413605052078713
2030,Bus,9.0,Peak,15.0,59202.0,6.0,4.9995461126205096e-05,0.061649888510931714,0.02030057313103353,0.0,0.023212232265692204,739.8863273540787,0.13384058539411206,0.011669268656631683,0.7608630059403151,0.0156586081796251,0.0028798558056720757,1.0080329666026586e-05,0.11554586653805489,0.007244408065852184,122.80901675656051,0.48600000000000004,1.8119470749503822e-84,2.3248125267437613e-28,1.157700540623352e-09,0.002967336448374035,0.043377542889446785,0.18569258007371475,0.47751351316973273,0.2904490262610313
2030,PTW,9.0,Peak,15.0,59202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6092115129584242,0.390788487041576
2030,Car,9.0,Off-peak,15.0,59202.0,162.0,0.13942377825367228,0.06883167186619202,0.16848238877437818,0.07533737598129443,0.021632620297162664,2648.1713960761867,5.627566125224018,0.5521321960214624,1.7573962770575042,0.03189055568610479,0.21585631890250123,0.00018463277312403856,5.07409063217511,0.026508039911732305,477.80517905722166,13.122,2.90627431522312e-05,0.00040134096334218427,0.002749588858979999,0.021826590150269488,0.0670839795601237,0.22790943772801806,0.34567195396308004,0.3343280460330344
2030,Bus,9.0,Off-peak,15.0,59202.0,2.0,1.6385968811639067e-05,0.020206046104895042,0.006771718221792003,0.0,0.0076088918906292,242.50395523918647,0.044668315979793094,0.003898695162360069,0.2592142879635489,0.005198271895200364,0.0009465897510423596,3.3423778195918216e-06,0.03853184825302157,0.0024959309269346904,40.274354741819636,0.16200000000000006,1.8119470749503822e-84,2.3248125267437613e-28,1.157700540623352e-09,0.002967336448374035,0.043377542889446785,0.18569258007371475,0.47751351316973273,0.2904490262610313
2030,PTW,9.0,Off-peak,15.0,59202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6092115129584242,0.390788487041576
2030,Car,9.0,Peak,59202.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000111260584297018,0.001536449255662678,0.010411829139786402,0.08017978780610037,0.24303555141216573,0.6647251218019875,0.0,0.0
2030,Bus,9.0,Peak,59202.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8119470749503822e-84,2.3248125267437613e-28,1.157700540623352e-09,0.002967336448374035,0.043377542889446785,0.18569258007371475,0.47751351316973273,0.2904490262610313
2030,PTW,9.0,Peak,59202.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6092115129584242,0.390788487041576
2030,Car,9.0,Off-peak,59202.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000111260584297018,0.001536449255662678,0.010411829139786402,0.08017978780610037,0.24303555141216573,0.6647251218019875,0.0,0.0
2030,Bus,9.0,Off-peak,59202.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8119470749503822e-84,2.3248125267437613e-28,1.157700540623352e-09,0.002967336448374035,0.043377542889446785,0.18569258007371475,0.47751351316973273,0.2904490262610313
2030,PTW,9.0,Off-peak,59202.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6092115129584242,0.390788487041576
2030,Car,10.0,Peak,59197.0,59202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000111260584297018,0.001536449255662678,0.010411829139786402,0.08017978780610037,0.24303555141216573,0.6647251218019875,0.0,0.0
