Parameter,Value_Gasoline_Small_Car,Value_Gasoline_Mid_Car,Value_Gasoline_Large_Car,Value_Diesel_Small_Car,Value_Diesel_Mid_Car,Value_Diesel_Large_Car,Value_HEV_Small_Car,Value_HEV_Mid_Car,Value_HEV_Large_Car,Value_BEV_Small_Car,Value_BEV_Mid_Car,Value_BEV_Large_Car,Value_PHEV_Small_Car,Value_PHEV_Mid_Car,Value_PHEV_Large_Car,Value_LPG_Small_Car,Value_LPG_Mid_Car,Value_LPG_Large_Car,Value_CNG_Small_Car,Value_CNG_Mid_Car,Value_CNG_Large_Car,Value_Diesel_Bus,Value_Gasoline_Bus,Value_CNG_Bus,Value_Electric_Bus,Value_Gasoline_PTW,Value_Diesel_PTW,Value_CNG_PTW,Value_Electric_PTW
EF_CO2_lubricant_Euro5,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,0,0,0,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,2.65E-01,2.65E-01,0.00E+00,0.00E+00,1.33E-01,1.33E-01,1.33E-01,0
EF_CO2_lubricant_Euro6,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,0,0,0,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,2.65E-01,2.65E-01,0.00E+00,0.00E+00,1.33E-01,1.33E-01,1.33E-01,0
EF_CO2_lubricant_Euro7,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,0,0,0,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,3.98E-01,2.65E-01,2.65E-01,0.00E+00,0.00E+00,1.33E-01,1.33E-01,1.33E-01,0
EF_PM25_Euro0,2.20E-03,2.20E-03,2.20E-03,0.2209,0.2209,2.21E-01,0.00E+00,0.00E+00,0.00E+00,0,0,0,0.00E+00,0.00E+00,0.00E+00,2.20E-03,2.20E-03,2.20E-03,1.10E-03,1.10E-03,1.10E-03,9.09E-01,9.09E-01,2.00E-03,0.00E+00,1.40E-02,1.40E-02,1.40E-02,0
EF_PM25_Euro1,2.20E-03,2.20E-03,2.20E-03,0.0842,0.0842,8.42E-02,0.00E+00,0.00E+00,0.00E+00,0,0,0,0.00E+00,0.00E+00,0.00E+00,2.20E-03,2.20E-03,2.20E-03,1.10E-03,1.10E-03,1.10E-03,4.79E-01,4.79E-01,2.00E-03,0.00E+00,1.40E-02,1.40E-02,1.40E-02,0
EF_PM25_Euro2,2.20E-03,2.20E-03,2.20E-03,0.0547,0.0548,5.48E-02,0.00E+00,0.00E+00,0.00E+00,0,0,0,0.00E+00,0.00E+00,0.00E+00,2.20E-03,2.20E-03,2.20E-03,1.10E-03,1.10E-03,1.10E-03,2.20E-01,2.20E-01,1.00E-03,0.00E+00,3.50E-03,3.50E-03,3.50E-03,0
EF_PM25_Euro3,1.10E-03,1.10E-03,1.10E-03,0.0391,0.0391,3.91E-02,0.00E+00,0.00E+00,0.00E+00,0,0,0,0.00E+00,0.00E+00,0.00E+00,1.10E-03,1.10E-03,1.10E-03,1.10E-03,1.10E-03,1.10E-03,2.07E-01,2.07E-01,1.00E-03,0.00E+00,3.50E-03,3.50E-03,3.50E-03,0
EF_PM25_Euro4,1.10E-03,1.10E-03,1.10E-03,0.0314,0.0314,3.14E-02,0.00E+00,0.00E+00,0.00E+00,0,0,0,0.00E+00,0.00E+00,0.00E+00,1.10E-03,1.10E-03,1.10E-03,1.10E-03,1.10E-03,1.10E-03,4.62E-02,4.62E-02,1.00E-03,0.00E+00,3.50E-03,3.50E-03,3.50E-03,0
EF_PM25_Euro5,1.40E-03,1.40E-03,1.40E-03,0.0021,0.0021,2.10E-03,0.00E+00,0.00E+00,0.00E+00,0,0,0,0.00E+00,0.00E+00,0.00E+00,1.10E-03,1.10E-03,1.10E-03,1.10E-03,1.10E-03,1.10E-03,4.62E-02,4.62E-02,5.00E-03,0.00E+00,3.50E-03,3.50E-03,3.50E-03,0
EF_PM25_Euro6,1.60E-03,1.40E-03,1.40E-03,0.0015,0.0015,1.50E-03,0.00E+00,0.00E+00,0.00E+00,0,0,0,0.00E+00,0.00E+00,0.00E+00,1.10E-03,1.10E-03,1.10E-03,1.10E-03,1.10E-03,1.10E-03,2.30E-03,2.30E-03,5.00E-03,0.00E+00,3.50E-03,3.50E-03,3.50E-03,0
EF_PM25_Euro7,1.60E-03,1.60E-03,1.60E-03,0.0015,0.0015,1.50E-03,0.00E+00,0.00E+00,0.00E+00,0,0,0,0.00E+00,0.00E+00,0.00E+00,1.10E-03,1.10E-03,1.10E-03,1.10E-03,1.10E-03,1.10E-03,2.30E-03,2.30E-03,5.00E-03,0.00E+00,3.50E-03,3.50E-03,3.50E-03,0
