Year;MacroZone;Age;Gender;PopRate
2022;1;75-79;Female;0.027
2023;1;75-79;Female;0.041
2024;1;75-79;Female;0.048
2025;1;75-79;Female;0.037
2026;1;75-79;Female;0.038
2027;1;75-79;Female;-0.006
2028;1;75-79;Female;-0.015
2029;1;75-79;Female;-0.023
2030;1;75-79;Female;-0.004
2020;1;80-84;Female;0.046
2021;1;80-84;Female;0.049
2022;1;80-84;Female;0.008
2023;1;80-84;Female;-0.007
2024;1;80-84;Female;-0.020
2025;1;80-84;Female;-0.030
2026;1;80-84;Female;-0.041
2027;1;80-84;Female;0.031
2028;1;80-84;Female;0.044
2029;1;80-84;Female;0.051
2030;1;80-84;Female;0.038
2020;1;85-89;Female;0.001
2021;1;85-89;Female;-0.034
2022;1;85-89;Female;0.001
2023;1;85-89;Female;0.018
2024;1;85-89;Female;0.041
2025;1;85-89;Female;0.039
2026;1;85-89;Female;0.027
2027;1;85-89;Female;0.007
2028;1;85-89;Female;-0.007
2029;1;85-89;Female;-0.019
2030;1;85-89;Female;-0.027
2020;1;90-94;Female;0.041
2021;1;90-94;Female;0.008
2022;1;90-94;Female;0.022
2023;1;90-94;Female;0.010
2024;1;90-94;Female;0.004
2025;1;90-94;Female;0.009
2026;1;90-94;Female;0.016
2027;1;90-94;Female;0.007
2028;1;90-94;Female;0.023
2029;1;90-94;Female;0.047
2030;1;90-94;Female;0.045
2020;1;95+;Female;-0.021
2021;1;95+;Female;-0.054
2022;1;95+;Female;0.039
2023;1;95+;Female;0.064
2024;1;95+;Female;0.033
2025;1;95+;Female;0.057
2026;1;95+;Female;0.045
2027;1;95+;Female;0.028
2028;1;95+;Female;0.022
2029;1;95+;Female;0.008
2030;1;95+;Female;0.023
2020;2;10-14;Female;0.001
2021;2;10-14;Female;-0.043
2022;2;10-14;Female;0.005
2023;2;10-14;Female;0.024
2024;2;10-14;Female;-0.009
2025;2;10-14;Female;-0.024
2026;2;10-14;Female;-0.001
2027;2;10-14;Female;-0.048
2028;2;10-14;Female;-0.036
2029;2;10-14;Female;-0.035
2030;2;10-14;Female;-0.050
2020;2;05-09;Female;-0.032
2021;2;05-09;Female;-0.008
2022;2;05-09;Female;-0.053
